name of media group,description of media group,headquarters of the media group,title of the tv channel,video quality of the tv channel,programme,description,programme_lssl,schedule,production_company,FirstName,LastName,Birthdate,Gender,Role,Specialization,Username_lssl
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Investigative Report,Investigative reports uncovering hidden truths.,breakingnowtv-investigativereport,08-11,Thompson PLC,Marcus,Richards,1962-08-10,Male,Producer,Cycling Journalist,travisgentry
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Investigative Report,Investigative reports uncovering hidden truths.,breakingnowtv-investigativereport,08-11,Thompson PLC,James,Hardy,1968-08-01,Female,Commentator,Boxing Reporter,brownheidi
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Investigative Report,Investigative reports uncovering hidden truths.,breakingnowtv-investigativereport,08-11,Thompson PLC,Daniel,Sanchez,1980-09-13,Male,Host,Equestrian Journalist,sara09
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Investigative Report,Investigative reports uncovering hidden truths.,breakingnowtv-investigativereport,08-11,Thompson PLC,Rebecca,Miller,1983-05-06,Male,Analyst,Tennis Commentator,rickyhowell
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Investigative Report,Investigative reports uncovering hidden truths.,breakingnowtv-investigativereport,08-11,Thompson PLC,Craig,Murphy,1989-05-10,Male,Journalist,Sports Medicine Correspondent,stephen03
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Center,"Your daily dose of sports news, scores, and analysis.",breakingnowtv-sportscenter,20-23,Chapman-Townsend,Stephanie,Dunn,1994-04-10,Female,Reporter,Cricket Analyst,geverett
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Center,"Your daily dose of sports news, scores, and analysis.",breakingnowtv-sportscenter,20-23,Chapman-Townsend,Lauren,Adams,1976-12-05,Male,Analyst,Boxing Reporter,alexis59
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Center,"Your daily dose of sports news, scores, and analysis.",breakingnowtv-sportscenter,20-23,Chapman-Townsend,Carrie,Hernandez,1987-01-10,Female,Commentator,Soccer Journalist,nelsonrobert
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Center,"Your daily dose of sports news, scores, and analysis.",breakingnowtv-sportscenter,20-23,Chapman-Townsend,Frederick,Scott,1969-12-09,Male,Producer,Esports Commentator,frazieradam
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Center,"Your daily dose of sports news, scores, and analysis.",breakingnowtv-sportscenter,20-23,Chapman-Townsend,Calvin,Gross,1976-02-27,Male,Producer,College Sports Analyst,umcfarland
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Center,"Your daily dose of sports news, scores, and analysis.",breakingnowtv-sportscenter,20-23,Chapman-Townsend,John,Livingston,2005-09-07,Male,Commentator,Cricket Analyst,stephanieprice
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Center,"Your daily dose of sports news, scores, and analysis.",breakingnowtv-sportscenter,20-23,Chapman-Townsend,Melanie,Glenn,1973-09-02,Female,Producer,Esports Commentator,katelynsuarez
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Center,"Your daily dose of sports news, scores, and analysis.",breakingnowtv-sportscenter,20-23,Chapman-Townsend,Kimberly,Simmons,1975-11-12,Male,Commentator,Mixed Martial Arts (MMA) Reporter,smithfelicia
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Center,"Your daily dose of sports news, scores, and analysis.",breakingnowtv-sportscenter,20-23,Chapman-Townsend,Jasmine,Guzman,2004-10-13,Male,Analyst,Equestrian Journalist,barronashley
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Center,"Your daily dose of sports news, scores, and analysis.",breakingnowtv-sportscenter,20-23,Chapman-Townsend,Bradley,Byrd,1972-01-01,Male,Journalist,Sports Business Journalist,rogersbrittany
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Center,"Your daily dose of sports news, scores, and analysis.",breakingnowtv-sportscenter,20-23,Chapman-Townsend,Paul,Porter,1942-04-03,Male,Reporter,Extreme Sports Correspondent,joseph28
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Center,"Your daily dose of sports news, scores, and analysis.",breakingnowtv-sportscenter,20-23,Chapman-Townsend,Kendra,Wright,1972-02-02,Female,Commentator,Cycling Journalist,derekwood
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Center,"Your daily dose of sports news, scores, and analysis.",breakingnowtv-sportscenter,20-23,Chapman-Townsend,Amber,Brown,1970-02-26,Female,Host,Sports Medicine Correspondent,christine58
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Center,"Your daily dose of sports news, scores, and analysis.",breakingnowtv-sportscenter,20-23,Chapman-Townsend,Ryan,Watkins,1975-11-03,Male,Analyst,Extreme Sports Correspondent,jeffersonjason
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Prime Time News,In-depth coverage of current events during prime time.,breakingnowtv-primetimenews,22-23,Graham-Vargas,Jessica,Miller,2001-09-06,Female,Analyst,Rugby Correspondent,markgomez
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Prime Time News,In-depth coverage of current events during prime time.,breakingnowtv-primetimenews,22-23,Graham-Vargas,Robert,Miller,1944-12-26,Male,Analyst,Wrestling Commentator,wramirez
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Prime Time News,In-depth coverage of current events during prime time.,breakingnowtv-primetimenews,22-23,Graham-Vargas,Sherry,Foster,1953-10-31,Female,Commentator,Esports Commentator,loribolton
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Prime Time News,In-depth coverage of current events during prime time.,breakingnowtv-primetimenews,22-23,Graham-Vargas,Carlos,Brooks,1943-03-17,Female,Journalist,Tennis Commentator,mhammond
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Prime Time News,In-depth coverage of current events during prime time.,breakingnowtv-primetimenews,22-23,Graham-Vargas,Aaron,Gibson,1986-07-17,Male,Reporter,Boxing Reporter,morrisrichard
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Prime Time News,In-depth coverage of current events during prime time.,breakingnowtv-primetimenews,22-23,Graham-Vargas,Melinda,Cruz,1973-06-06,Female,Producer,Outdoor Adventure Journalist,pbennett
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Prime Time News,In-depth coverage of current events during prime time.,breakingnowtv-primetimenews,22-23,Graham-Vargas,Nancy,Simon,1984-10-08,Female,Commentator,Water Sports Reporter,rmeyer
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Prime Time News,In-depth coverage of current events during prime time.,breakingnowtv-primetimenews,22-23,Graham-Vargas,Jessica,Martin,1939-03-11,Female,Commentator,Water Sports Reporter,gjuarez
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Prime Time News,In-depth coverage of current events during prime time.,breakingnowtv-primetimenews,22-23,Graham-Vargas,Tyler,Russell,1959-09-22,Male,Commentator,Equestrian Journalist,smithsabrina
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Late Night Sports,Late-night sports talk and analysis.,breakingnowtv-latenightsports,14-20,Rivera-Sanchez,Benjamin,Pruitt,1949-01-31,Male,Reporter,Cricket Analyst,yryan
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Late Night Sports,Late-night sports talk and analysis.,breakingnowtv-latenightsports,14-20,Rivera-Sanchez,Stacy,Smith,1933-07-10,Female,Host,College Sports Analyst,johnsonrobin
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Late Night Sports,Late-night sports talk and analysis.,breakingnowtv-latenightsports,14-20,Rivera-Sanchez,Sharon,Smith,1950-11-11,Male,Analyst,Baseball Analyst,preyes
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Late Night Sports,Late-night sports talk and analysis.,breakingnowtv-latenightsports,14-20,Rivera-Sanchez,Jeffery,Williams,1949-12-07,Female,Host,Sports Medicine Correspondent,nicholaskaufman
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Late Night Sports,Late-night sports talk and analysis.,breakingnowtv-latenightsports,14-20,Rivera-Sanchez,Rhonda,Bryant,1941-09-27,Male,Journalist,Mixed Martial Arts (MMA) Reporter,tracybrown
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Late Night Sports,Late-night sports talk and analysis.,breakingnowtv-latenightsports,14-20,Rivera-Sanchez,Michelle,Ellis,1952-01-25,Male,Reporter,Olympics Correspondent,zlopez
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Late Night Sports,Late-night sports talk and analysis.,breakingnowtv-latenightsports,14-20,Rivera-Sanchez,Joshua,Hamilton,1999-06-04,Male,Journalist,Sports Medicine Correspondent,wturner
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Late Night Sports,Late-night sports talk and analysis.,breakingnowtv-latenightsports,14-20,Rivera-Sanchez,Angela,Graham,1963-11-26,Male,Analyst,High School Sports Reporter,donaldhunter
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Late Night Sports,Late-night sports talk and analysis.,breakingnowtv-latenightsports,14-20,Rivera-Sanchez,Ashley,Vance,1988-05-06,Female,Journalist,Baseball Analyst,phillipsveronica
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Late Night Sports,Late-night sports talk and analysis.,breakingnowtv-latenightsports,14-20,Rivera-Sanchez,Sharon,Smith,1950-11-11,Male,Host,Baseball Analyst,preyes
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Late Night Sports,Late-night sports talk and analysis.,breakingnowtv-latenightsports,14-20,Rivera-Sanchez,Todd,Harper,1993-04-23,Female,Journalist,Baseball Analyst,bradleywilliams
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Late Night Sports,Late-night sports talk and analysis.,breakingnowtv-latenightsports,14-20,Rivera-Sanchez,Tammy,White,1997-09-09,Male,Journalist,High School Sports Reporter,landryjeremy
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Late Night Sports,Late-night sports talk and analysis.,breakingnowtv-latenightsports,14-20,Rivera-Sanchez,William,Sheppard,1975-10-04,Female,Reporter,Baseball Analyst,ujones
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Late Night Sports,Late-night sports talk and analysis.,breakingnowtv-latenightsports,14-20,Rivera-Sanchez,Sandra,Kim,1949-05-30,Male,Host,Wrestling Commentator,kimdustin
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Feature Report,Feature reports on issues shaping our world.,breakingnowtv-featurereport,08-11,Bishop and Sons,Darren,Johnson,1958-09-24,Male,Analyst,Winter Sports Analyst,cynthia54
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Feature Report,Feature reports on issues shaping our world.,breakingnowtv-featurereport,08-11,Bishop and Sons,Daniel,Miller,1995-05-07,Female,Reporter,Wrestling Commentator,nking
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Feature Report,Feature reports on issues shaping our world.,breakingnowtv-featurereport,08-11,Bishop and Sons,Sara,Ford,1941-08-01,Male,Reporter,Basketball Correspondent,leemercedes
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Feature Report,Feature reports on issues shaping our world.,breakingnowtv-featurereport,08-11,Bishop and Sons,Stephen,Martinez,1980-11-28,Female,Analyst,Golf Writer,christopher17
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Feature Report,Feature reports on issues shaping our world.,breakingnowtv-featurereport,08-11,Bishop and Sons,Rebecca,Hill,1935-09-05,Female,Producer,Athletics Commentator,yrogers
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Feature Report,Feature reports on issues shaping our world.,breakingnowtv-featurereport,08-11,Bishop and Sons,Samuel,Bates,1953-10-01,Female,Commentator,Football Reporter,jessica44
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Global News Roundup,World news coverage from around the globe.,breakingnowtv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Tonya,Mclean,1936-06-09,Female,Commentator,High School Sports Reporter,sleon
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Global News Roundup,World news coverage from around the globe.,breakingnowtv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Alexander,Valdez,1933-04-27,Male,Producer,Esports Commentator,smithsarah
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Global News Roundup,World news coverage from around the globe.,breakingnowtv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Jessica,Lewis,1999-11-21,Female,Reporter,Extreme Sports Correspondent,robertscott
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Global News Roundup,World news coverage from around the globe.,breakingnowtv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Paul,Porter,1942-04-03,Male,Journalist,Extreme Sports Correspondent,joseph28
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Global News Roundup,World news coverage from around the globe.,breakingnowtv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Ray,Steele,1940-08-26,Female,Reporter,Esports Commentator,vmccormick
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Global News Roundup,World news coverage from around the globe.,breakingnowtv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",William,Crane,1941-05-03,Female,Reporter,Cricket Analyst,tchen
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Global News Roundup,World news coverage from around the globe.,breakingnowtv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Justin,Hall,1995-10-16,Male,Analyst,Athletics Commentator,christophermiller
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Global News Roundup,World news coverage from around the globe.,breakingnowtv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Brittany,Walter,1974-03-12,Male,Producer,Sports Medicine Correspondent,xcamacho
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Global News Roundup,World news coverage from around the globe.,breakingnowtv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Michael,Bryant,1944-07-12,Female,Host,Sports Medicine Correspondent,virginiarogers
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Global News Roundup,World news coverage from around the globe.,breakingnowtv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Austin,Miller,1992-04-07,Female,Producer,Football Reporter,smithcynthia
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Global News Roundup,World news coverage from around the globe.,breakingnowtv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Jason,Carter,1936-08-05,Male,Producer,Golf Writer,cgrant
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Global News Roundup,World news coverage from around the globe.,breakingnowtv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Mackenzie,Patel,1992-01-25,Female,Journalist,Football Reporter,johnsonlisa
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Global News Roundup,World news coverage from around the globe.,breakingnowtv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Danielle,Castro,1948-03-15,Female,Journalist,Sports Science Writer,kristen33
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Global News Roundup,World news coverage from around the globe.,breakingnowtv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Stacy,Holt,1986-03-01,Male,Commentator,Basketball Correspondent,william05
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Highlights,Recap of the day's sports highlights.,breakingnowtv-sportshighlights,14-20,"Moore, Harris and Robertson",Kelly,Wilson,1958-08-26,Female,Analyst,Cycling Journalist,amandashea
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Highlights,Recap of the day's sports highlights.,breakingnowtv-sportshighlights,14-20,"Moore, Harris and Robertson",Scott,Foley,1945-07-23,Male,Journalist,Boxing Reporter,michaeltownsend
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Highlights,Recap of the day's sports highlights.,breakingnowtv-sportshighlights,14-20,"Moore, Harris and Robertson",David,Mercado,1979-06-02,Female,Reporter,Cycling Journalist,hogancindy
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Highlights,Recap of the day's sports highlights.,breakingnowtv-sportshighlights,14-20,"Moore, Harris and Robertson",Julie,Scott,1969-04-03,Female,Journalist,Winter Sports Analyst,fmiller
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Highlights,Recap of the day's sports highlights.,breakingnowtv-sportshighlights,14-20,"Moore, Harris and Robertson",Randall,Harmon,1950-07-26,Female,Journalist,Youth Sports Correspondent,alexander16
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Highlights,Recap of the day's sports highlights.,breakingnowtv-sportshighlights,14-20,"Moore, Harris and Robertson",Anthony,Cannon,1976-08-13,Male,Analyst,Extreme Sports Correspondent,vaughanmelissa
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Daily News Recap,Recap of the day's news with in-depth analysis.,breakingnowtv-dailynewsrecap,11-16,Moyer-Hall,Stephen,Combs,2000-07-14,Male,Analyst,Paralympics Reporter,riverapaul
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Daily News Recap,Recap of the day's news with in-depth analysis.,breakingnowtv-dailynewsrecap,11-16,Moyer-Hall,Emily,Cooley,1938-02-21,Male,Producer,Olympics Correspondent,nklein
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Daily News Recap,Recap of the day's news with in-depth analysis.,breakingnowtv-dailynewsrecap,11-16,Moyer-Hall,Melissa,Garcia,1989-09-29,Female,Host,College Sports Analyst,krausetara
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Daily News Recap,Recap of the day's news with in-depth analysis.,breakingnowtv-dailynewsrecap,11-16,Moyer-Hall,Isaac,Hampton,1939-09-15,Female,Journalist,Cycling Journalist,vincentyoung
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Daily News Recap,Recap of the day's news with in-depth analysis.,breakingnowtv-dailynewsrecap,11-16,Moyer-Hall,Alexandra,Fuller,1984-06-28,Female,Host,Extreme Sports Correspondent,toddebony
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Daily News Recap,Recap of the day's news with in-depth analysis.,breakingnowtv-dailynewsrecap,11-16,Moyer-Hall,James,Mills,1997-01-08,Female,Reporter,Winter Sports Analyst,christopherhouse
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Daily News Recap,Recap of the day's news with in-depth analysis.,breakingnowtv-dailynewsrecap,11-16,Moyer-Hall,Jerome,Huerta,1940-10-26,Female,Analyst,Cycling Journalist,sanchezrandall
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Daily News Recap,Recap of the day's news with in-depth analysis.,breakingnowtv-dailynewsrecap,11-16,Moyer-Hall,Kimberly,Davis,1950-10-15,Male,Analyst,Sports Business Journalist,kathrynwilliams
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Daily News Recap,Recap of the day's news with in-depth analysis.,breakingnowtv-dailynewsrecap,11-16,Moyer-Hall,Yvonne,Butler,1944-07-06,Female,Analyst,Motorsports Journalist,martinjennifer
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Weekend Magazine,Highlights and features from the week's top stories.,breakingnowtv-weekendmagazine,08-11,Garrison PLC,Rebecca,Moore,1992-05-07,Male,Host,Sports Science Writer,elizabeth36
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Weekend Magazine,Highlights and features from the week's top stories.,breakingnowtv-weekendmagazine,08-11,Garrison PLC,Kathryn,Banks,2005-09-23,Male,Producer,Esports Commentator,kevinneal
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Weekend Magazine,Highlights and features from the week's top stories.,breakingnowtv-weekendmagazine,08-11,Garrison PLC,Dawn,Moore,1990-09-28,Male,Host,Hockey Reporter,chapmanjose
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Weekend Magazine,Highlights and features from the week's top stories.,breakingnowtv-weekendmagazine,08-11,Garrison PLC,Scott,Shaw,1978-12-14,Male,Journalist,High School Sports Reporter,danielle20
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Weekend Magazine,Highlights and features from the week's top stories.,breakingnowtv-weekendmagazine,08-11,Garrison PLC,Carl,Huynh,1936-09-21,Male,Reporter,High School Sports Reporter,slynch
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Weekend Magazine,Highlights and features from the week's top stories.,breakingnowtv-weekendmagazine,08-11,Garrison PLC,Sean,Torres,1969-07-12,Male,Analyst,Baseball Analyst,elizabethjohnson
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Weekend Magazine,Highlights and features from the week's top stories.,breakingnowtv-weekendmagazine,08-11,Garrison PLC,David,Baker,1961-08-21,Female,Journalist,Sports Medicine Correspondent,richardandrews
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Insight,"Insights, highlights, and interviews from the world of sports.",breakingnowtv-sportsinsight,22-23,Wood Group,Sharon,Barker,1958-10-13,Female,Commentator,Olympics Correspondent,newtonhailey
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Insight,"Insights, highlights, and interviews from the world of sports.",breakingnowtv-sportsinsight,22-23,Wood Group,Mackenzie,Patel,1992-01-25,Female,Producer,Football Reporter,johnsonlisa
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Insight,"Insights, highlights, and interviews from the world of sports.",breakingnowtv-sportsinsight,22-23,Wood Group,Linda,Arnold,1947-05-27,Female,Host,Tennis Commentator,jsimpson
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Insight,"Insights, highlights, and interviews from the world of sports.",breakingnowtv-sportsinsight,22-23,Wood Group,Shane,Nash,2005-11-02,Male,Host,Water Sports Reporter,michaelwilliams
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Insight,"Insights, highlights, and interviews from the world of sports.",breakingnowtv-sportsinsight,22-23,Wood Group,Kimberly,Liu,1948-04-07,Male,Reporter,Sports Business Journalist,monicawaters
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Insight,"Insights, highlights, and interviews from the world of sports.",breakingnowtv-sportsinsight,22-23,Wood Group,John,Gomez,1958-05-18,Female,Commentator,Baseball Analyst,rmata
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Insight,"Insights, highlights, and interviews from the world of sports.",breakingnowtv-sportsinsight,22-23,Wood Group,Danny,Kim,1938-05-26,Male,Host,Boxing Reporter,weeksjeffrey
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Insight,"Insights, highlights, and interviews from the world of sports.",breakingnowtv-sportsinsight,22-23,Wood Group,Denise,Smith,1938-10-13,Male,Producer,Esports Commentator,jennifermendoza
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Insight,"Insights, highlights, and interviews from the world of sports.",breakingnowtv-sportsinsight,22-23,Wood Group,Sean,Torres,1969-07-12,Male,Journalist,Baseball Analyst,elizabethjohnson
CanariasMediaGroup,Island Vibes Broadcasting,Las Palmas,BreakingNow TV,720p HD,BreakingNow TV - Sports Insight,"Insights, highlights, and interviews from the world of sports.",breakingnowtv-sportsinsight,22-23,Wood Group,Christopher,Guzman,1996-11-26,Male,Journalist,Football Reporter,nhernandez
