Name,Team,Type,Type_Description,Cost,Activity,Activity_description,Size,Official,Stock,Special_feature,Usage,Features,Season,Property,Material,Closure,Shop,Shop_description,CreditCard_provider,Discount,City,Units,CreditCard_num,CreditCard_expiry,Total_cost,Date
Burgos Shorts S 74.97  Winter Cotton,Burgos,Shorts,"Brief-length trousers, worn in warm weather or for sports.",74.97,Spring Activities,Great for staying cool during summer sports.,S,,82,,,,Winter,,Cotton,,Burgos - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",JCB 16 digit,0%,"La Rioja, Spain",5,4678487487214621,04/28,374.85,2020-03-20 00:52:25
Burgos Goalkeeper Gloves XS Official 224.97,Burgos,Goalkeeper Gloves,Protective gloves worn by goalkeepers in sports like football.,224.97,Soccer,Specifically designed for football goalkeepers.,XS,Official,12,,,,,,,,Burgos - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",Diners Club / Carte Blanche,0%,"Pontevedra, Spain",12,213183117028610,01/28,2699.64,2022-12-28 05:36:36
Burgos Pencil Case  32.48 Ink Compartment,Burgos,Pencil Case,"Container for storing pens, pencils, and other stationery.",32.48,School and Office,Useful for school and office organization.,,,68,Multi-Compartment,,Ink Compartment,,,,,Burgos - SoccerSphere,"Explore a world of soccer excellence at SoccerSphere, where passion meets performance in every product.",Maestro,15%,"Huesca, Spain",7,379513936161673,02/30,227.35999999999999,2019-04-19 01:05:55
Burgos Coat XS Official 324.98  Winter Cotton,Burgos,Coat,Outerwear garment for protection against cold weather.,324.98,Winter Activities,Designed to keep you warm during winter activities.,XS,Official,19,Wind-resistant,,,Winter,,Cotton,,Burgos - GoalLine Gear,"Your go-to destination for top-quality gear and equipment, specializing in everything you need to reach the goal line.",JCB 15 digit,50%,"Lugo, Spain",4,4088945980993540,03/34,1299.92,2023-10-04 14:07:57
Burgos Coat 2XL 324.98  Winter Cotton,Burgos,Coat,Outerwear garment for protection against cold weather.,324.98,Winter Activities,Designed to keep you warm during winter activities.,2XL,,83,Wind-resistant,,,Winter,,Cotton,,Burgos - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",,,,,,,,
Burgos Boots S Official 199.97 Football  Waterproof Lace-up,Burgos,Boots,Sports footwear designed for different activities.,199.97,Football,Ideal for football players and enthusiasts.,S,Official,53,Waterproof,Football,,,Waterproof,,Lace-up,Burgos - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",VISA 13 digit,5%,"Las Palmas, Spain",2,639006301027,08/29,399.94,2023-08-14 18:45:39
Burgos Coat M 324.98  Winter Cotton,Burgos,Coat,Outerwear garment for protection against cold weather.,324.98,Winter Activities,Designed to keep you warm during winter activities.,M,,8,Wind-resistant,,,Winter,,Cotton,,Burgos - TurfTrends Emporium,"TurfTrends Emporium - your one-stop-shop for all things soccer, from equipment to apparel, we've got you covered.",VISA 19 digit,25%,"La Rioja, Spain",2,341366180405139,10/28,649.96,2024-04-10 09:06:03
Burgos Jersey 2XL Official 124.98  All Seasons Polyester,Burgos,Jersey,"Athletic shirt, often associated with sports teams.",124.98,Any Sport,Suitable for any sports activity.,2XL,Official,26,Breathable,,,All Seasons,,Polyester,,Burgos - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,Mastercard,0%,"Ciudad, Spain",10,30434307305511,09/27,1249.8,2022-07-15 03:21:52
Burgos Pencil Case Official 32.48 Ink Compartment,Burgos,Pencil Case,"Container for storing pens, pencils, and other stationery.",32.48,School and Office,Useful for school and office organization.,,Official,85,Multi-Compartment,,Ink Compartment,,,,,Burgos - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",JCB 16 digit,25%,"Lugo, Spain",6,4775521323158923,12/28,194.88,2023-05-13 01:18:15
Burgos Polo Shirt 3XL Official 87.48  All Seasons Polyester,Burgos,Polo Shirt,"Collared shirt with short sleeves, often for casual wear.",87.48,Fashion Wear,Casual yet sporty attire for various occasions.,3XL,Official,78,,,,All Seasons,,Polyester,,Burgos - PitchSide Pro Shop,"Experience the best in football merchandise at PitchSide Pro Shop, your trusted source for all your football needs.",Discover,0%,"Huesca, Spain",1,6011904542346983,12/24,87.48,2021-09-23 12:53:24
Burgos Jersey L 124.98  Summer Blend,Burgos,Jersey,"Athletic shirt, often associated with sports teams.",124.98,Everyday Sport,Versatile athletic shirt for any sport.,L,,5,,,,Summer,,Blend,,Burgos - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",JCB 15 digit,0%,"Córdoba, Spain",6,4897250291679347,03/31,749.88,2022-10-11 01:59:34
CD Mirandés Shorts XS Official 53.98  Winter Cotton,CD Mirandés,Shorts,"Brief-length trousers, worn in warm weather or for sports.",53.98,Spring Activities,Great for staying cool during summer sports.,XS,Official,118,,,,Winter,,Cotton,,CD Mirandés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,Diners Club / Carte Blanche,25%,"Castellón, Spain",11,6545111271267506,06/27,593.78,2019-06-20 09:10:29
CD Mirandés Socks S Official 17.98 All sports  Sweet fit,CD Mirandés,Socks,Garments worn on the feet for comfort and warmth.,17.98,Sports and Exercise,Designed for sports and exercise routines.,S,Official,38,,All sports,,,Sweet,,fit,CD Mirandés - GoalLine Gear,"Your go-to destination for top-quality gear and equipment, specializing in everything you need to reach the goal line.",VISA 16 digit,0%,"Huelva, Spain",4,3585421985559397,12/27,71.92,2023-04-28 10:36:02
CD Mirandés Backpack  125.98 Multi-Compartment,CD Mirandés,Backpack,"Bag worn on the back, designed to carry belongings.",125.98,Travel and Everyday Use,Ideal for travel and everyday use.,,,104,Laptop Compartment,,Multi-Compartment,,,,,CD Mirandés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",American Express,25%,"Salamanca, Spain",4,4034450219596069357,02/27,503.92,2021-04-01 02:20:22
CD Mirandés Socks L 17.98 All sports  Sweet fit,CD Mirandés,Socks,Garments worn on the feet for comfort and warmth.,17.98,Sports and Exercise,Designed for sports and exercise routines.,L,,21,,All sports,,,Sweet,,fit,CD Mirandés - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",JCB 16 digit,0%,"Granada, Spain",7,3530042185579856,02/33,125.86,2020-02-09 12:17:54
CD Mirandés Sweatshirt S Official 71.98  Summer Blend,CD Mirandés,Sweatshirt,"Casual, warm garment for chilly weather.",71.98,Casual Wear,Comfortable and casual wear for everyday use.,S,Official,93,,,,Summer,,Blend,,CD Mirandés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",JCB 15 digit,15%,"Guipúzcoa, Spain",7,6011717339023320,09/27,503.86,2021-11-14 03:07:30
CD Mirandés Pencil Case Official 23.38 Ink Compartment,CD Mirandés,Pencil Case,"Container for storing pens, pencils, and other stationery.",23.38,School and Office,Useful for school and office organization.,,Official,36,Multi-Compartment,,Ink Compartment,,,,,CD Mirandés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",Diners Club / Carte Blanche,0%,"Navarra, Spain",8,4583630325839892296,01/33,187.04,2022-10-26 18:54:25
CD Mirandés Ball  44.98,CD Mirandés,Ball,Spherical object used in various sports and games.,44.98,Few Sports,Versatile ball for various sports and games.,,,77,,,,,,,,CD Mirandés - GoalLine Gear,"Your go-to destination for top-quality gear and equipment, specializing in everything you need to reach the goal line.",Maestro,0%,"Alicante, Spain",4,4495810079150,04/25,179.92,2024-02-10 17:27:39
CD Mirandés Socks XS 17.98 All sports  Sweet fit,CD Mirandés,Socks,Garments worn on the feet for comfort and warmth.,17.98,Sports and Exercise,Designed for sports and exercise routines.,XS,,12,,All sports,,,Sweet,,fit,CD Mirandés - SoccerSphere,"Explore a world of soccer excellence at SoccerSphere, where passion meets performance in every product.",JCB 16 digit,0%,"Soria, Spain",4,4607467350667970894,09/24,71.92,2023-06-11 22:29:36
CD Mirandés Jersey XS Official 89.98  Summer Blend,CD Mirandés,Jersey,"Athletic shirt, often associated with sports teams.",89.98,Everyday Sport,Versatile athletic shirt for any sport.,XS,Official,9,,,,Summer,,Blend,,CD Mirandés - TurfTrends Emporium,"TurfTrends Emporium - your one-stop-shop for all things soccer, from equipment to apparel, we've got you covered.",JCB 16 digit,5%,"Granada, Spain",10,4569664255304,08/28,899.8000000000001,2020-03-18 20:30:24
CD Mirandés Jersey XL 89.98  Summer Blend,CD Mirandés,Jersey,"Athletic shirt, often associated with sports teams.",89.98,Everyday Sport,Versatile athletic shirt for any sport.,XL,,18,,,,Summer,,Blend,,CD Mirandés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",JCB 16 digit,0%,"Santa Cruz de Tenerife, Spain",11,30364376930388,12/25,989.7800000000001,2019-04-14 07:14:19
CD Mirandés Pencil Case  23.38 Ink Compartment,CD Mirandés,Pencil Case,"Container for storing pens, pencils, and other stationery.",23.38,School and Office,Useful for school and office organization.,,,34,Multi-Compartment,,Ink Compartment,,,,,CD Mirandés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",JCB 16 digit,50%,"Guadalajara, Spain",6,348108717726121,02/34,140.28,2020-10-26 20:36:11
CD Mirandés Boots S 143.98 Football  Waterproof Lace-up,CD Mirandés,Boots,Sports footwear designed for different activities.,143.98,Football,Ideal for football players and enthusiasts.,S,,121,Waterproof,Football,,,Waterproof,,Lace-up,CD Mirandés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,JCB 15 digit,0%,"Guadalajara, Spain",8,4627043031216,06/26,1151.84,2019-07-13 04:58:03
CD Mirandés Sweatshirt 2XL 71.98  Summer Blend,CD Mirandés,Sweatshirt,"Casual, warm garment for chilly weather.",71.98,Casual Wear,Comfortable and casual wear for everyday use.,2XL,,22,,,,Summer,,Blend,,CD Mirandés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",VISA 13 digit,25%,"Almería, Spain",10,4447939280050121428,03/27,719.8000000000001,2021-12-31 20:33:25
CD Mirandés Polo Shirt L 62.98  All Seasons Polyester,CD Mirandés,Polo Shirt,"Collared shirt with short sleeves, often for casual wear.",62.98,Fashion Wear,Casual yet sporty attire for various occasions.,L,,30,,,,All Seasons,,Polyester,,CD Mirandés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",Mastercard,15%,"Córdoba, Spain",6,213177488647198,11/33,377.88,2022-10-30 19:01:36
CD Mirandés Goalkeeper Gloves M 161.98,CD Mirandés,Goalkeeper Gloves,Protective gloves worn by goalkeepers in sports like football.,161.98,Soccer,Specifically designed for football goalkeepers.,M,,14,,,,,,,,CD Mirandés - GoalLine Gear,"Your go-to destination for top-quality gear and equipment, specializing in everything you need to reach the goal line.",VISA 19 digit,0%,"Melilla, Spain",8,4715253913838859798,01/27,1295.84,2023-01-21 10:09:52
CD Mirandés Bermuda Shorts XS 80.98  All Seasons Polyester,CD Mirandés,Bermuda Shorts,"Knee-length shorts, often worn in warm weather.",80.98,Summer Activities,Perfect for staying cool during summer activities.,XS,,75,UV Protection,,,All Seasons,,Polyester,,CD Mirandés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,JCB 16 digit,10%,"Girona, Spain",7,4607467350667970894,09/24,566.86,2022-09-23 20:58:31
CD Mirandés Coat S Official 233.98  Winter Cotton,CD Mirandés,Coat,Outerwear garment for protection against cold weather.,233.98,Winter Activities,Designed to keep you warm during winter activities.,S,Official,26,Wind-resistant,,,Winter,,Cotton,,CD Mirandés - CornerKick Collections,"Discover the latest trends in football gear at CornerKick Collections, your premier destination for sportswear.",Maestro,0%,"Salamanca, Spain",1,4040748198159,03/27,233.98,2021-10-06 00:41:14
CD Mirandés Jersey XL Official 89.98  Summer Blend,CD Mirandés,Jersey,"Athletic shirt, often associated with sports teams.",89.98,Everyday Sport,Versatile athletic shirt for any sport.,XL,Official,91,,,,Summer,,Blend,,CD Mirandés - GoalLine Gear,"Your go-to destination for top-quality gear and equipment, specializing in everything you need to reach the goal line.",,,,,,,,
CD Mirandés Pencil Case  23.38 Ink Compartment,CD Mirandés,Pencil Case,"Container for storing pens, pencils, and other stationery.",23.38,School and Office,Useful for school and office organization.,,,111,Multi-Compartment,,Ink Compartment,,,,,CD Mirandés - CornerKick Collections,"Discover the latest trends in football gear at CornerKick Collections, your premier destination for sportswear.",VISA 19 digit,0%,"Alicante, Spain",11,6011978010689793,06/30,257.18,2020-05-25 16:18:42
CD Mirandés Long Pants 3XL Official 107.98  Summer Blend,CD Mirandés,Long Pants,Full-length trousers or pants.,107.98,Sports and Activities,Designed for sports and exercise activities.,3XL,Official,6,,,,Summer,,Blend,,CD Mirandés - PitchSide Pro Shop,"Experience the best in football merchandise at PitchSide Pro Shop, your trusted source for all your football needs.",JCB 16 digit,0%,"Soria, Spain",8,180097326518808,06/28,863.84,2023-07-26 15:00:47
CD Mirandés Polo Shirt S Official 62.98  All Seasons Polyester,CD Mirandés,Polo Shirt,"Collared shirt with short sleeves, often for casual wear.",62.98,Fashion Wear,Casual yet sporty attire for various occasions.,S,Official,112,,,,All Seasons,,Polyester,,CD Mirandés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",VISA 16 digit,0%,"Cádiz, Spain",5,4346834980256124,06/25,314.9,2020-06-01 04:07:33
CD Mirandés Cap L Official 35.98 UV Protection,CD Mirandés,Cap,"Headwear with a brim, often used for sports or casual wear.",35.98,Sports and Outdoor Activities,Suitable for various outdoor sports and activities.,L,Official,91,,,UV Protection,,,,,CD Mirandés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",JCB 15 digit,0%,"Cantabria, Spain",4,4128606402518149,10/27,143.92,2020-04-07 06:59:46
CD Mirandés Pencil Case Official 23.38 Ink Compartment,CD Mirandés,Pencil Case,"Container for storing pens, pencils, and other stationery.",23.38,School and Office,Useful for school and office organization.,,Official,102,Multi-Compartment,,Ink Compartment,,,,,CD Mirandés - SoccerSphere,"Explore a world of soccer excellence at SoccerSphere, where passion meets performance in every product.",,,,,,,,
CD Mirandés Boots XL Official 143.98 Football  Waterproof Lace-up,CD Mirandés,Boots,Sports footwear designed for different activities.,143.98,Football,Ideal for football players and enthusiasts.,XL,Official,79,Waterproof,Football,,,Waterproof,,Lace-up,CD Mirandés - SoccerSphere,"Explore a world of soccer excellence at SoccerSphere, where passion meets performance in every product.",American Express,10%,"Badajoz, Spain",4,3510076142631883,05/26,575.92,2020-10-21 00:38:44
CD Mirandés Coat XL Official 233.98  Winter Cotton,CD Mirandés,Coat,Outerwear garment for protection against cold weather.,233.98,Winter Activities,Designed to keep you warm during winter activities.,XL,Official,94,Wind-resistant,,,Winter,,Cotton,,CD Mirandés - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",Discover,10%,"Segovia, Spain",8,4437689237758441,02/28,1871.84,2022-12-11 20:13:39
CD Mirandés Ball  44.98,CD Mirandés,Ball,Spherical object used in various sports and games.,44.98,Few Sports,Versatile ball for various sports and games.,,,98,,,,,,,,CD Mirandés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",VISA 19 digit,0%,"Cuenca, Spain",12,4897366014048873,06/32,539.76,2019-09-10 19:28:33
CD Mirandés Bermuda Shorts 3XL 80.98  All Seasons Polyester,CD Mirandés,Bermuda Shorts,"Knee-length shorts, often worn in warm weather.",80.98,Summer Activities,Perfect for staying cool during summer activities.,3XL,,31,UV Protection,,,All Seasons,,Polyester,,CD Mirandés - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",Mastercard,0%,"Toledo, Spain",6,4709812394747118872,01/26,485.88,2024-03-31 10:33:15
CD Mirandés Pencil Case  23.38 Ink Compartment,CD Mirandés,Pencil Case,"Container for storing pens, pencils, and other stationery.",23.38,School and Office,Useful for school and office organization.,,,77,Multi-Compartment,,Ink Compartment,,,,,CD Mirandés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,Maestro,0%,"Teruel, Spain",3,3565296832318039,02/34,70.14,2020-03-30 05:04:00
CD Mirandés Pencil Case  23.38 Ink Compartment,CD Mirandés,Pencil Case,"Container for storing pens, pencils, and other stationery.",23.38,School and Office,Useful for school and office organization.,,,115,Multi-Compartment,,Ink Compartment,,,,,CD Mirandés - GoalLine Gear,"Your go-to destination for top-quality gear and equipment, specializing in everything you need to reach the goal line.",VISA 16 digit,0%,"Cuenca, Spain",7,30182455341768,04/28,163.66,2023-06-16 00:10:04
CD Mirandés Jersey L Official 89.98  Summer Blend,CD Mirandés,Jersey,"Athletic shirt, often associated with sports teams.",89.98,Everyday Sport,Versatile athletic shirt for any sport.,L,Official,89,,,,Summer,,Blend,,CD Mirandés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",Maestro,0%,"Murcia, Spain",3,4571614725329,06/32,269.94,2023-11-23 22:39:01
CD Mirandés Polo Shirt S Official 62.98  All Seasons Polyester,CD Mirandés,Polo Shirt,"Collared shirt with short sleeves, often for casual wear.",62.98,Fashion Wear,Casual yet sporty attire for various occasions.,S,Official,31,,,,All Seasons,,Polyester,,CD Mirandés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",VISA 19 digit,25%,"Castellón, Spain",6,3524936295682567,07/26,377.88,2023-08-24 18:40:08
CD Mirandés Backpack  125.98 Multi-Compartment,CD Mirandés,Backpack,"Bag worn on the back, designed to carry belongings.",125.98,Travel and Everyday Use,Ideal for travel and everyday use.,,,80,Laptop Compartment,,Multi-Compartment,,,,,CD Mirandés - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",Mastercard,0%,"Navarra, Spain",4,2221487245161193,06/32,503.92,2021-03-25 17:57:09
CD Mirandés Jersey XS Official 89.98  Summer Blend,CD Mirandés,Jersey,"Athletic shirt, often associated with sports teams.",89.98,Everyday Sport,Versatile athletic shirt for any sport.,XS,Official,48,,,,Summer,,Blend,,CD Mirandés - SoccerSphere,"Explore a world of soccer excellence at SoccerSphere, where passion meets performance in every product.",JCB 15 digit,0%,"Alicante, Spain",11,340280838210737,09/24,989.7800000000001,2023-05-19 00:06:02
CD Mirandés Jersey XL 89.98  Summer Blend,CD Mirandés,Jersey,"Athletic shirt, often associated with sports teams.",89.98,Everyday Sport,Versatile athletic shirt for any sport.,XL,,123,,,,Summer,,Blend,,CD Mirandés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,Discover,25%,"Murcia, Spain",11,6550457360077773,08/29,989.7800000000001,2022-11-30 14:28:52
CD Mirandés Ball Official 44.98,CD Mirandés,Ball,Spherical object used in various sports and games.,44.98,Few Sports,Versatile ball for various sports and games.,,Official,76,,,,,,,,CD Mirandés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",Discover,0%,"Sevilla, Spain",3,587400754194,05/28,134.94,2022-07-13 19:21:24
CD Mirandés Pencil Case  23.38 Ink Compartment,CD Mirandés,Pencil Case,"Container for storing pens, pencils, and other stationery.",23.38,School and Office,Useful for school and office organization.,,,43,Multi-Compartment,,Ink Compartment,,,,,CD Mirandés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",Mastercard,50%,"Barcelona, Spain",8,4816787556542,05/25,187.04,2023-05-29 22:13:55
CD Mirandés Long Pants 3XL 107.98  Summer Blend,CD Mirandés,Long Pants,Full-length trousers or pants.,107.98,Sports and Activities,Designed for sports and exercise activities.,3XL,,105,,,,Summer,,Blend,,CD Mirandés - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",American Express,50%,"Barcelona, Spain",3,3538908424493947,05/27,323.94,2023-08-12 16:14:53
CD Mirandés Socks S 17.98 All sports  Sweet fit,CD Mirandés,Socks,Garments worn on the feet for comfort and warmth.,17.98,Sports and Exercise,Designed for sports and exercise routines.,S,,113,,All sports,,,Sweet,,fit,CD Mirandés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",Mastercard,0%,"Teruel, Spain",8,4769714154727142,12/31,143.84,2022-04-25 05:36:41
CD Mirandés Sweatshirt 2XL Official 71.98  Summer Blend,CD Mirandés,Sweatshirt,"Casual, warm garment for chilly weather.",71.98,Casual Wear,Comfortable and casual wear for everyday use.,2XL,Official,120,,,,Summer,,Blend,,CD Mirandés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",Diners Club / Carte Blanche,0%,"Vizcaya, Spain",2,3503264486414640,03/31,143.96,2022-07-28 08:20:27
CD Mirandés Boots M 143.98 Football  Waterproof Lace-up,CD Mirandés,Boots,Sports footwear designed for different activities.,143.98,Football,Ideal for football players and enthusiasts.,M,,21,Waterproof,Football,,,Waterproof,,Lace-up,CD Mirandés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",American Express,0%,"Navarra, Spain",9,3538908424493947,05/27,1295.82,2019-11-29 01:07:07
CD Mirandés Cup Official 35.98 Microwave and Dishwasher Safe,CD Mirandés,Cup,"Drinking vessel, often awarded as a trophy in competitions.",35.98,Sports and Achievements,A trophy cup suitable for sports achievements.,,Official,16,,,Microwave and Dishwasher Safe,,,,,CD Mirandés - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",VISA 16 digit,5%,"Guadalajara, Spain",8,3591804870338831,02/26,287.84,2022-09-03 05:52:16
CD Mirandés Cup  35.98 Microwave and Dishwasher Safe,CD Mirandés,Cup,"Drinking vessel, often awarded as a trophy in competitions.",35.98,Sports and Achievements,A trophy cup suitable for sports achievements.,,,113,,,Microwave and Dishwasher Safe,,,,,CD Mirandés - PitchSide Pro Shop,"Experience the best in football merchandise at PitchSide Pro Shop, your trusted source for all your football needs.",VISA 16 digit,0%,"La Coruña, Spain",5,676160586357,11/29,179.89999999999998,2019-11-20 08:15:49
CD Mirandés Backpack  125.98 Multi-Compartment,CD Mirandés,Backpack,"Bag worn on the back, designed to carry belongings.",125.98,Travel and Everyday Use,Ideal for travel and everyday use.,,,94,Laptop Compartment,,Multi-Compartment,,,,,CD Mirandés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",American Express,15%,"Valencia, Spain",6,4949957659957929,01/33,755.88,2019-10-20 16:30:24
CD Mirandés Long Pants XL Official 107.98  Summer Blend,CD Mirandés,Long Pants,Full-length trousers or pants.,107.98,Sports and Activities,Designed for sports and exercise activities.,XL,Official,88,,,,Summer,,Blend,,CD Mirandés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,JCB 16 digit,25%,"Santa Cruz de Tenerife, Spain",4,36172740668897,05/27,431.92,2022-04-26 03:41:46
CD Mirandés Sweatshirt 3XL 71.98  Summer Blend,CD Mirandés,Sweatshirt,"Casual, warm garment for chilly weather.",71.98,Casual Wear,Comfortable and casual wear for everyday use.,3XL,,10,,,,Summer,,Blend,,CD Mirandés - GoalLine Gear,"Your go-to destination for top-quality gear and equipment, specializing in everything you need to reach the goal line.",Diners Club / Carte Blanche,50%,"Lleida, Spain",11,571821454576,12/32,791.7800000000001,2021-09-03 11:58:13
CD Mirandés Goalkeeper Gloves L 161.98,CD Mirandés,Goalkeeper Gloves,Protective gloves worn by goalkeepers in sports like football.,161.98,Soccer,Specifically designed for football goalkeepers.,L,,60,,,,,,,,CD Mirandés - CornerKick Collections,"Discover the latest trends in football gear at CornerKick Collections, your premier destination for sportswear.",American Express,0%,"Teruel, Spain",4,4984973056745276,10/30,647.92,2022-10-25 14:59:20
CD Mirandés Cup Official 35.98 Microwave and Dishwasher Safe,CD Mirandés,Cup,"Drinking vessel, often awarded as a trophy in competitions.",35.98,Sports and Achievements,A trophy cup suitable for sports achievements.,,Official,50,,,Microwave and Dishwasher Safe,,,,,CD Mirandés - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",VISA 16 digit,10%,"Las Palmas, Spain",6,3568021385405018,03/28,215.88,2022-08-10 13:47:42
CD Mirandés Jersey S Official 89.98  Summer Blend,CD Mirandés,Jersey,"Athletic shirt, often associated with sports teams.",89.98,Everyday Sport,Versatile athletic shirt for any sport.,S,Official,114,,,,Summer,,Blend,,CD Mirandés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",Diners Club / Carte Blanche,25%,"Murcia, Spain",12,349159380981971,12/25,1079.76,2020-06-20 18:23:17
CD Mirandés Long Pants XS 107.98  Summer Blend,CD Mirandés,Long Pants,Full-length trousers or pants.,107.98,Sports and Activities,Designed for sports and exercise activities.,XS,,98,,,,Summer,,Blend,,CD Mirandés - GoalLine Gear,"Your go-to destination for top-quality gear and equipment, specializing in everything you need to reach the goal line.",Maestro,0%,"Huelva, Spain",4,676369062218,06/33,431.92,2023-04-04 12:42:37
CD Mirandés Cap 3XL Official 35.98 UV Protection,CD Mirandés,Cap,"Headwear with a brim, often used for sports or casual wear.",35.98,Sports and Outdoor Activities,Suitable for various outdoor sports and activities.,3XL,Official,14,,,UV Protection,,,,,CD Mirandés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,American Express,0%,"Baleares, Spain",8,4778375374878564130,02/33,287.84,2020-11-29 04:25:40
CD Mirandés Shorts L Official 53.98  Winter Cotton,CD Mirandés,Shorts,"Brief-length trousers, worn in warm weather or for sports.",53.98,Spring Activities,Great for staying cool during summer sports.,L,Official,14,,,,Winter,,Cotton,,CD Mirandés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",Discover,0%,"Castellón, Spain",3,4751034843979913552,09/24,161.94,2021-07-28 18:18:54
CD Mirandés Long Pants XS 107.98  Summer Blend,CD Mirandés,Long Pants,Full-length trousers or pants.,107.98,Sports and Activities,Designed for sports and exercise activities.,XS,,38,,,,Summer,,Blend,,CD Mirandés - SoccerSphere,"Explore a world of soccer excellence at SoccerSphere, where passion meets performance in every product.",Maestro,0%,"Cuenca, Spain",6,4495810079150,04/25,647.88,2022-11-15 21:49:06
CD Mirandés Jersey L Official 89.98  All Seasons Polyester,CD Mirandés,Jersey,"Athletic shirt, often associated with sports teams.",89.98,Any Sport,Suitable for any sports activity.,L,Official,39,Breathable,,,All Seasons,,Polyester,,CD Mirandés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",Diners Club / Carte Blanche,5%,"Albacete, Spain",12,3539674283313563,02/33,1079.76,2021-03-22 07:03:36
CD Mirandés Socks S Official 17.98 All sports  Sweet fit,CD Mirandés,Socks,Garments worn on the feet for comfort and warmth.,17.98,Sports and Exercise,Designed for sports and exercise routines.,S,Official,22,,All sports,,,Sweet,,fit,CD Mirandés - SoccerSphere,"Explore a world of soccer excellence at SoccerSphere, where passion meets performance in every product.",VISA 13 digit,50%,"Albacete, Spain",4,4710859365538,06/30,71.92,2019-11-22 22:25:33
