FirstName,LastName,birthdate,Gender,vacation_days,Shop,role,shift
Etelvina,Escrivá,2003-07-11 12:51:50,Female,15,Burgos - Striker's Style Outlet,Customer Service Representative,9:00 AM - 5:00 PM
Segismundo,Revilla,1994-01-02 03:52:55,Male,2,Burgos - Striker's Style Outlet,Sales Associate,9:00 AM - 5:00 PM
Hernando,Figuerola,1990-11-05 15:34:21,Male,11,Burgos - Striker's Style Outlet,Inventory Clerk,10:00 AM - 6:00 PM
Godofredo,Carmona,2005-05-02 21:57:19,Male,10,Burgos - Striker's Style Outlet,Sales Associate,9:00 AM - 5:00 PM
Jessica,Chacón,2000-06-08 14:56:03,Female,10,Burgos - Striker's Style Outlet,Inventory Clerk,9:00 AM - 5:00 PM
Noa,Urrutia,2003-01-23 00:01:56,Female,7,CD Mirandés - KickOff Kits,Customer Service Representative,10:00 AM - 6:00 PM
Íñigo,Lladó,1995-07-12 23:57:26,Male,8,CD Mirandés - KickOff Kits,Sales Associate,12:00 PM - 8:00 PM
Amanda,Cabrero,1979-07-16 05:14:00,Female,8,CD Mirandés - KickOff Kits,Cashier,12:00 PM - 8:00 PM
Tiburcio,Aguado,1994-10-21 18:50:14,Male,2,CD Mirandés - KickOff Kits,Sales Associate,11:00 AM - 7:00 PM
Piedad,Samper,1998-10-05 18:57:52,Female,9,CD Mirandés - NetBound Sports,Sales Associate,11:00 AM - 7:00 PM
Hilda,Comas,1997-04-22 06:30:33,Female,3,CD Mirandés - NetBound Sports,Customer Service Representative,11:00 AM - 7:00 PM
Íngrid,Pera,1976-05-17 04:06:46,Female,15,CD Mirandés - NetBound Sports,Sales Associate,11:00 AM - 7:00 PM
Diego,Sevillano,1990-09-20 15:20:16,Male,5,CD Mirandés - NetBound Sports,Store Manager,10:00 AM - 6:00 PM
Carmen,Iniesta,1980-01-01 08:35:42,Female,12,CD Mirandés - Striker's Style Outlet,Inventory Clerk,10:00 AM - 6:00 PM
Nerea,Puga,2001-04-26 06:06:54,Female,12,CD Mirandés - Striker's Style Outlet,Sales Associate,12:00 PM - 8:00 PM
Alicia,Campos,1982-02-27 05:06:04,Female,7,CD Mirandés - Striker's Style Outlet,Store Manager,10:00 AM - 6:00 PM
Ruth,Vazquez,1980-11-24 22:14:59,Female,8,CD Mirandés - Striker's Style Outlet,Sales Associate,11:00 AM - 7:00 PM
Dimas,Silva,2005-05-16 06:50:06,Male,7,CD Mirandés - Striker's Style Outlet,Sales Associate,12:00 PM - 8:00 PM
Edelmiro,Dávila,1977-12-25 02:32:22,Male,15,CD Mirandés - Striker's Style Outlet,Cashier,12:00 PM - 8:00 PM
Febe,Bastida,1993-03-06 08:48:36,Female,4,CD Mirandés - PitchPerfect Provisions,Store Manager,9:00 AM - 5:00 PM
Maximino,Beltrán,1999-06-30 12:17:08,Male,9,CD Mirandés - PitchPerfect Provisions,Inventory Clerk,11:00 AM - 7:00 PM
Hortensia,Reig,1976-07-25 05:00:13,Female,5,CD Mirandés - PitchPerfect Provisions,Customer Service Representative,10:00 AM - 6:00 PM
Rafa,Sandoval,1980-10-07 04:32:46,Male,14,CD Mirandés - PitchPerfect Provisions,Store Manager,11:00 AM - 7:00 PM
Tomás,Maestre,1976-10-07 05:59:48,Male,15,CD Mirandés - GoalLine Gear,Store Manager,9:00 AM - 5:00 PM
Crescencia,Piquer,1977-10-18 11:17:24,Female,7,CD Mirandés - GoalLine Gear,Sales Associate,10:00 AM - 6:00 PM
Noelia,Ordóñez,1974-04-07 07:47:56,Female,13,CD Mirandés - CornerKick Collections,Cashier,9:00 AM - 5:00 PM
María José,Navarrete,1990-11-15 04:55:16,Female,3,CD Mirandés - CornerKick Collections,Sales Associate,9:00 AM - 5:00 PM
Aurelia,Guitart,1982-06-02 18:44:51,Female,13,CD Mirandés - CornerKick Collections,Sales Associate,11:00 AM - 7:00 PM
Roxana,Belmonte,2005-08-20 17:34:08,Female,10,CD Mirandés - CornerKick Collections,Sales Associate,12:00 PM - 8:00 PM
Carina,Carrera,1976-04-16 08:17:49,Female,8,CD Mirandés - CornerKick Collections,Inventory Clerk,9:00 AM - 5:00 PM
Faustino,Duque,1985-10-25 00:32:37,Male,15,CD Mirandés - CornerKick Collections,Inventory Clerk,12:00 PM - 8:00 PM
Griselda,Álamo,2004-07-04 16:22:25,Female,12,CD Mirandés - Referee's Choice Sports,Store Manager,11:00 AM - 7:00 PM
Francisca,Riba,1988-06-07 15:56:29,Female,8,CD Mirandés - Referee's Choice Sports,Customer Service Representative,10:00 AM - 6:00 PM
Juan Bautista,Zamorano,1983-07-27 21:02:04,Male,14,CD Mirandés - Referee's Choice Sports,Cashier,12:00 PM - 8:00 PM
Elisa,Bautista,1976-10-07 04:46:48,Female,13,CD Mirandés - TurfTrends Emporium,Store Manager,11:00 AM - 7:00 PM
Dulce,Plana,1989-01-21 08:53:51,Female,10,CD Mirandés - TurfTrends Emporium,Store Manager,10:00 AM - 6:00 PM
Hipólito,Barbero,1984-02-08 12:20:34,Male,2,CD Mirandés - TurfTrends Emporium,Store Manager,12:00 PM - 8:00 PM
Ismael,Coronado,1987-07-04 01:48:40,Male,12,CD Mirandés - TurfTrends Emporium,Cashier,10:00 AM - 6:00 PM
Zaida,Campos,1975-09-12 13:28:59,Female,3,CD Mirandés - SoccerSphere,Customer Service Representative,9:00 AM - 5:00 PM
Nilda,Torres,1992-04-13 17:59:09,Female,5,CD Mirandés - SoccerSphere,Customer Service Representative,10:00 AM - 6:00 PM
Ariel,Ángel,1996-02-15 08:26:55,Male,4,CD Mirandés - PitchSide Pro Shop,Inventory Clerk,11:00 AM - 7:00 PM
Vanesa,Camacho,1979-11-06 18:42:30,Female,3,CD Mirandés - PitchSide Pro Shop,Sales Associate,9:00 AM - 5:00 PM
Candelario,Borrell,1978-03-10 11:51:34,Male,11,CD Mirandés - PitchSide Pro Shop,Customer Service Representative,9:00 AM - 5:00 PM
Agapito,Molins,1998-03-25 07:27:08,Male,9,CD Mirandés - PitchSide Pro Shop,Sales Associate,11:00 AM - 7:00 PM
Mohamed,Arnaiz,2004-08-19 00:39:30,Male,4,CD Mirandés - PitchSide Pro Shop,Customer Service Representative,11:00 AM - 7:00 PM
Seve,Cañas,1989-10-02 21:40:22,Male,5,Cartagena - Referee's Choice Sports,Customer Service Representative,10:00 AM - 6:00 PM
Anabel,Araujo,1986-02-14 18:48:33,Female,14,Cartagena - Referee's Choice Sports,Inventory Clerk,11:00 AM - 7:00 PM
Ámbar,Ibarra,1976-07-15 13:23:41,Female,11,Cartagena - Referee's Choice Sports,Customer Service Representative,9:00 AM - 5:00 PM
Paca,Morillo,1989-11-28 01:07:21,Female,11,Cartagena - Referee's Choice Sports,Customer Service Representative,11:00 AM - 7:00 PM
Nidia,Salvà,1978-02-02 23:16:33,Female,13,Cartagena - CornerKick Collections,Inventory Clerk,11:00 AM - 7:00 PM
Abigaíl,Sotelo,1978-04-24 22:06:10,Female,10,Cartagena - CornerKick Collections,Store Manager,11:00 AM - 7:00 PM
Casandra,Báez,1986-02-09 20:43:33,Female,3,Cartagena - CornerKick Collections,Sales Associate,9:00 AM - 5:00 PM
Fortunato,Márquez,2004-12-20 11:53:40,Male,9,Cartagena - GoalLine Gear,Cashier,10:00 AM - 6:00 PM
Juana,Losada,1982-12-29 11:34:22,Female,15,Cartagena - GoalLine Gear,Cashier,9:00 AM - 5:00 PM
Saturnino,Garcés,2005-02-06 05:39:32,Male,11,Cartagena - GoalLine Gear,Store Manager,12:00 PM - 8:00 PM
Nicodemo,Quevedo,1976-10-31 11:18:42,Male,3,Cartagena - SoccerSphere,Customer Service Representative,10:00 AM - 6:00 PM
César,Ródenas,1993-06-26 09:17:48,Male,14,Cartagena - SoccerSphere,Customer Service Representative,9:00 AM - 5:00 PM
Victor Manuel,Colom,1985-11-09 13:01:33,Male,8,Cartagena - SoccerSphere,Sales Associate,9:00 AM - 5:00 PM
Eutropio,Azorin,1988-09-06 11:10:01,Male,12,Cartagena - SoccerSphere,Cashier,10:00 AM - 6:00 PM
Marisol,Barrena,1988-04-11 05:56:57,Female,10,Cartagena - Striker's Style Outlet,Sales Associate,11:00 AM - 7:00 PM
Judith,Bárcena,1981-01-29 11:07:34,Female,7,Cartagena - Striker's Style Outlet,Customer Service Representative,11:00 AM - 7:00 PM
Carmelo,Peña,1979-08-06 03:50:05,Male,4,Cartagena - Striker's Style Outlet,Inventory Clerk,11:00 AM - 7:00 PM
Juana,Escalona,1984-04-20 12:15:18,Female,13,Cartagena - NetBound Sports,Cashier,9:00 AM - 5:00 PM
Eutropio,Quintero,2004-05-02 08:07:19,Male,2,Cartagena - NetBound Sports,Cashier,10:00 AM - 6:00 PM
Arcelia,Arroyo,2003-12-22 07:55:25,Female,12,Cartagena - NetBound Sports,Store Manager,9:00 AM - 5:00 PM
Rafael,Nicolau,1984-06-02 15:27:45,Male,15,Cartagena - NetBound Sports,Customer Service Representative,11:00 AM - 7:00 PM
María Fernanda,Cuadrado,1995-03-26 10:18:22,Female,5,Cartagena - PitchPerfect Provisions,Customer Service Representative,11:00 AM - 7:00 PM
Mauricio,Valderrama,1992-03-09 19:38:34,Male,8,Cartagena - PitchPerfect Provisions,Customer Service Representative,11:00 AM - 7:00 PM
Sergio,Quintana,2003-04-07 20:01:26,Male,3,Cartagena - PitchPerfect Provisions,Customer Service Representative,9:00 AM - 5:00 PM
Felipa,Berenguer,1996-04-24 06:18:20,Female,5,Cartagena - PitchPerfect Provisions,Sales Associate,11:00 AM - 7:00 PM
Odalys,Gaya,1986-06-09 01:02:40,Female,3,Cartagena - PitchPerfect Provisions,Customer Service Representative,9:00 AM - 5:00 PM
Bernardino,Jimenez,1977-06-19 02:32:19,Male,12,Cartagena - PitchPerfect Provisions,Cashier,11:00 AM - 7:00 PM
Trinidad,Casares,1981-10-04 22:29:29,Female,12,Cartagena - PitchSide Pro Shop,Inventory Clerk,10:00 AM - 6:00 PM
Jose Luis,Sebastián,2002-07-25 01:29:18,Male,10,Cartagena - PitchSide Pro Shop,Sales Associate,9:00 AM - 5:00 PM
Mireia,Dávila,2000-07-13 11:13:36,Female,4,Cartagena - PitchSide Pro Shop,Cashier,12:00 PM - 8:00 PM
Cintia,Perea,1994-05-25 04:48:20,Female,13,Cartagena - PitchSide Pro Shop,Store Manager,11:00 AM - 7:00 PM
José,Villanueva,2000-06-14 18:42:28,Female,3,Cartagena - PitchSide Pro Shop,Inventory Clerk,10:00 AM - 6:00 PM
Angelita,Capdevila,1979-08-29 02:16:12,Female,11,Cartagena - KickOff Kits,Cashier,10:00 AM - 6:00 PM
Wilfredo,Menéndez,1975-01-30 05:22:55,Male,11,Cartagena - KickOff Kits,Store Manager,9:00 AM - 5:00 PM
Consuelo,Bravo,1987-02-07 04:07:23,Female,14,Cartagena - TurfTrends Emporium,Customer Service Representative,11:00 AM - 7:00 PM
José Luis,Cuadrado,1974-12-02 21:12:53,Male,6,Cartagena - TurfTrends Emporium,Customer Service Representative,10:00 AM - 6:00 PM
Matías,Ibarra,1987-08-31 14:36:49,Male,3,Cartagena - TurfTrends Emporium,Sales Associate,11:00 AM - 7:00 PM
Gisela,Lozano,1985-09-23 04:56:22,Female,8,Cartagena - TurfTrends Emporium,Sales Associate,11:00 AM - 7:00 PM
Basilio,Marqués,1985-11-26 23:13:42,Male,13,Cartagena - TurfTrends Emporium,Store Manager,10:00 AM - 6:00 PM
Mirta,Carro,1974-06-04 09:56:16,Female,13,Cartagena - TurfTrends Emporium,Inventory Clerk,11:00 AM - 7:00 PM
Chema,Cañas,2004-04-04 11:34:36,Male,9,Castellón - PitchSide Pro Shop,Customer Service Representative,10:00 AM - 6:00 PM
Haydée,Cabo,1981-07-13 10:42:12,Female,15,Castellón - PitchSide Pro Shop,Store Manager,10:00 AM - 6:00 PM
Pepita,Guerra,1976-01-22 23:45:07,Female,5,Castellón - PitchSide Pro Shop,Sales Associate,9:00 AM - 5:00 PM
Rafaela,Rivera,1995-01-29 14:32:25,Female,11,Castellón - PitchSide Pro Shop,Cashier,11:00 AM - 7:00 PM
Candelario,Mascaró,1975-12-11 07:53:09,Male,15,Castellón - NetBound Sports,Customer Service Representative,10:00 AM - 6:00 PM
Juliana,Sarmiento,2001-08-20 03:46:03,Female,6,Castellón - NetBound Sports,Sales Associate,11:00 AM - 7:00 PM
Sergio,Toro,1995-10-09 12:08:06,Male,2,Castellón - NetBound Sports,Store Manager,12:00 PM - 8:00 PM
Débora,Fuente,1980-01-21 03:02:11,Female,5,Castellón - NetBound Sports,Sales Associate,12:00 PM - 8:00 PM
Feliciano,Diego,1982-12-03 17:18:37,Male,11,Castellón - NetBound Sports,Cashier,10:00 AM - 6:00 PM
Bienvenida,Canals,2000-04-09 18:56:51,Female,2,Castellón - Striker's Style Outlet,Inventory Clerk,11:00 AM - 7:00 PM
Odalys,Campoy,2002-08-11 16:35:07,Female,15,Castellón - Striker's Style Outlet,Customer Service Representative,9:00 AM - 5:00 PM
Ramiro,Díaz,1982-06-03 05:20:51,Male,10,Castellón - Striker's Style Outlet,Inventory Clerk,9:00 AM - 5:00 PM
Hilario,Barbero,1989-09-23 02:21:27,Male,2,Castellón - Striker's Style Outlet,Inventory Clerk,9:00 AM - 5:00 PM
Roberta,Posada,1974-05-08 12:39:15,Female,6,Castellón - Striker's Style Outlet,Customer Service Representative,11:00 AM - 7:00 PM
Amaya,Coloma,1977-08-15 19:28:12,Female,9,Castellón - Striker's Style Outlet,Customer Service Representative,9:00 AM - 5:00 PM
Bonifacio,Rios,1990-10-30 04:52:37,Male,10,Castellón - TurfTrends Emporium,Store Manager,10:00 AM - 6:00 PM
Rafaela,Alcántara,1996-08-06 04:25:16,Female,12,Castellón - TurfTrends Emporium,Sales Associate,10:00 AM - 6:00 PM
Araceli,Alvarado,2003-06-22 12:06:44,Female,3,Castellón - TurfTrends Emporium,Sales Associate,12:00 PM - 8:00 PM
Graciano,Villegas,1984-10-30 12:32:21,Male,13,Castellón - CornerKick Collections,Store Manager,11:00 AM - 7:00 PM
América,Montoya,1998-04-08 09:26:56,Female,5,Castellón - CornerKick Collections,Store Manager,9:00 AM - 5:00 PM
Dalila,Caro,1995-05-01 04:25:02,Female,4,Castellón - CornerKick Collections,Cashier,9:00 AM - 5:00 PM
Noemí,Antúnez,1982-08-04 13:55:00,Female,7,Castellón - GoalLine Gear,Cashier,10:00 AM - 6:00 PM
Anna,Martí,1995-06-06 18:14:09,Female,11,Castellón - GoalLine Gear,Cashier,11:00 AM - 7:00 PM
Melania,Navarro,1982-09-06 21:29:17,Female,13,Castellón - GoalLine Gear,Customer Service Representative,10:00 AM - 6:00 PM
Cleto,Ibañez,2001-06-16 19:02:03,Male,2,Castellón - GoalLine Gear,Customer Service Representative,10:00 AM - 6:00 PM
Bibiana,Pérez,1979-11-10 10:51:05,Female,3,Castellón - GoalLine Gear,Inventory Clerk,9:00 AM - 5:00 PM
Almudena,Carrera,1998-05-12 14:16:42,Female,8,Castellón - GoalLine Gear,Inventory Clerk,9:00 AM - 5:00 PM
Florentino,Rozas,1978-08-19 02:08:47,Male,2,Castellón - SoccerSphere,Sales Associate,10:00 AM - 6:00 PM
Jeremías,Sanmiguel,1982-02-17 11:25:17,Male,14,Castellón - SoccerSphere,Sales Associate,12:00 PM - 8:00 PM
Sigfrido,Escribano,1974-12-19 23:59:22,Male,6,Castellón - SoccerSphere,Sales Associate,9:00 AM - 5:00 PM
Azeneth,Gargallo,1993-01-10 03:40:09,Female,9,Castellón - SoccerSphere,Sales Associate,11:00 AM - 7:00 PM
Ofelia,Sarabia,1999-06-07 04:35:57,Female,12,Castellón - SoccerSphere,Sales Associate,12:00 PM - 8:00 PM
Eleuterio,Leal,1978-09-24 03:11:53,Male,9,Castellón - Referee's Choice Sports,Customer Service Representative,11:00 AM - 7:00 PM
Juan Carlos,Canet,1974-06-16 13:21:28,Male,4,Castellón - Referee's Choice Sports,Store Manager,12:00 PM - 8:00 PM
Eloísa,Heras,1979-06-17 01:19:46,Female,15,Castellón - Referee's Choice Sports,Inventory Clerk,12:00 PM - 8:00 PM
Ana Sofía,Gonzalez,1981-03-28 20:30:48,Female,9,Castellón - Referee's Choice Sports,Customer Service Representative,11:00 AM - 7:00 PM
Natividad,Ros,2005-07-01 18:07:13,Female,8,Castellón - Referee's Choice Sports,Store Manager,12:00 PM - 8:00 PM
Chema,Martin,1984-04-15 06:06:56,Male,9,Castellón - Referee's Choice Sports,Customer Service Representative,10:00 AM - 6:00 PM
Roberto,Cózar,1977-08-22 22:54:17,Male,13,Castellón - PitchPerfect Provisions,Customer Service Representative,11:00 AM - 7:00 PM
Mónica,Carbajo,2003-09-20 12:29:27,Female,10,Castellón - PitchPerfect Provisions,Customer Service Representative,12:00 PM - 8:00 PM
Mamen,Cisneros,2002-03-27 10:50:37,Female,13,Castellón - PitchPerfect Provisions,Sales Associate,10:00 AM - 6:00 PM
Araceli,Yuste,1984-06-18 02:04:58,Female,4,Castellón - KickOff Kits,Sales Associate,12:00 PM - 8:00 PM
Primitiva,Cánovas,1982-07-21 13:52:51,Female,4,Castellón - KickOff Kits,Store Manager,10:00 AM - 6:00 PM
Roberto,Parra,1998-10-04 12:46:17,Male,4,Castellón - KickOff Kits,Cashier,12:00 PM - 8:00 PM
Sofía,Bueno,1987-09-15 18:05:24,Female,11,Celta Vigo - NetBound Sports,Inventory Clerk,12:00 PM - 8:00 PM
Jenny,Bello,1979-10-28 07:29:28,Female,15,Celta Vigo - NetBound Sports,Inventory Clerk,12:00 PM - 8:00 PM
Patricia,Yuste,1978-05-30 06:20:32,Female,7,Celta Vigo - NetBound Sports,Sales Associate,10:00 AM - 6:00 PM
Nacio,González,1994-04-13 09:38:55,Male,3,Celta Vigo - NetBound Sports,Sales Associate,11:00 AM - 7:00 PM
Adelaida,Batalla,2005-06-24 04:13:47,Female,3,Celta Vigo - KickOff Kits,Store Manager,10:00 AM - 6:00 PM
Sancho,Novoa,2001-02-27 22:35:54,Male,4,Celta Vigo - KickOff Kits,Store Manager,12:00 PM - 8:00 PM
Samu,Miranda,1989-01-01 16:52:29,Male,15,Celta Vigo - KickOff Kits,Cashier,10:00 AM - 6:00 PM
Abraham,Goicoechea,1995-03-20 22:07:25,Male,8,Celta Vigo - KickOff Kits,Inventory Clerk,12:00 PM - 8:00 PM
Abraham,Arnau,1985-11-01 15:29:54,Male,11,Celta Vigo - KickOff Kits,Inventory Clerk,12:00 PM - 8:00 PM
Pastora,Núñez,1982-02-01 18:21:59,Female,10,Celta Vigo - KickOff Kits,Customer Service Representative,12:00 PM - 8:00 PM
Ester,Huguet,1995-01-29 20:41:22,Female,11,Celta Vigo - CornerKick Collections,Store Manager,9:00 AM - 5:00 PM
Rogelio,Hidalgo,1982-04-29 11:08:18,Male,14,Celta Vigo - CornerKick Collections,Cashier,11:00 AM - 7:00 PM
Alexandra,Alcázar,2001-02-04 03:07:47,Female,4,Celta Vigo - CornerKick Collections,Inventory Clerk,11:00 AM - 7:00 PM
Perla,Serrano,1983-08-12 00:39:04,Female,6,Celta Vigo - CornerKick Collections,Sales Associate,11:00 AM - 7:00 PM
Lara,Vallés,2002-08-21 08:29:54,Female,14,Celta Vigo - Referee's Choice Sports,Sales Associate,11:00 AM - 7:00 PM
Leyre,Saura,1976-10-01 11:34:56,Female,8,Celta Vigo - Referee's Choice Sports,Sales Associate,12:00 PM - 8:00 PM
Gilberto,Quiroga,1999-05-07 01:20:52,Male,2,Celta Vigo - Referee's Choice Sports,Store Manager,12:00 PM - 8:00 PM
Olga,Cortes,1999-05-02 15:41:18,Female,7,Celta Vigo - TurfTrends Emporium,Store Manager,9:00 AM - 5:00 PM
Leonor,Alvarez,1974-10-07 09:00:14,Female,6,Celta Vigo - TurfTrends Emporium,Store Manager,9:00 AM - 5:00 PM
Marisol,Nicolás,1993-07-16 22:34:22,Female,8,Celta Vigo - TurfTrends Emporium,Store Manager,12:00 PM - 8:00 PM
Jafet,Ponce,1996-12-03 03:59:03,Male,12,Celta Vigo - TurfTrends Emporium,Sales Associate,11:00 AM - 7:00 PM
Araceli,Folch,1975-01-05 08:07:22,Female,8,Celta Vigo - TurfTrends Emporium,Inventory Clerk,12:00 PM - 8:00 PM
Débora,Ródenas,1974-06-13 02:18:45,Female,6,Celta Vigo - Striker's Style Outlet,Cashier,10:00 AM - 6:00 PM
Bernarda,Herrero,1989-01-10 10:54:25,Female,15,Celta Vigo - Striker's Style Outlet,Cashier,12:00 PM - 8:00 PM
Loida,Acevedo,1977-05-24 21:46:30,Female,2,Celta Vigo - Striker's Style Outlet,Cashier,10:00 AM - 6:00 PM
Adalberto,Colomer,1981-05-19 16:46:10,Male,4,Celta Vigo - SoccerSphere,Cashier,9:00 AM - 5:00 PM
Bernardo,Bermudez,1996-07-04 03:53:49,Male,7,Celta Vigo - SoccerSphere,Inventory Clerk,10:00 AM - 6:00 PM
Laura,Andres,2003-02-01 10:01:23,Female,10,Celta Vigo - SoccerSphere,Cashier,9:00 AM - 5:00 PM
Conrado,Gomila,1978-02-18 20:36:38,Male,4,Celta Vigo - PitchSide Pro Shop,Customer Service Representative,10:00 AM - 6:00 PM
Aitana,Corral,1979-05-04 11:04:23,Female,11,Celta Vigo - PitchSide Pro Shop,Inventory Clerk,12:00 PM - 8:00 PM
Nacho,Hierro,1977-03-20 13:43:36,Male,4,Celta Vigo - PitchPerfect Provisions,Customer Service Representative,9:00 AM - 5:00 PM
Ciro,Cuevas,2005-02-12 19:47:44,Male,15,Celta Vigo - PitchPerfect Provisions,Cashier,10:00 AM - 6:00 PM
Candela,Merino,2000-09-14 02:37:37,Female,15,Celta Vigo - PitchPerfect Provisions,Sales Associate,9:00 AM - 5:00 PM
Sarita,Sanjuan,1987-06-12 13:04:11,Female,7,Celta Vigo - GoalLine Gear,Sales Associate,9:00 AM - 5:00 PM
Magdalena,Meléndez,1978-06-06 02:23:34,Female,7,Celta Vigo - GoalLine Gear,Sales Associate,10:00 AM - 6:00 PM
Andrés,Valenciano,2000-05-04 21:01:56,Male,2,Celtic sct - CornerKick Collections,Store Manager,9:00 AM - 5:00 PM
Sigfrido,Ribas,1997-03-12 03:38:54,Male,9,Celtic sct - CornerKick Collections,Store Manager,9:00 AM - 5:00 PM
Eduardo,Noguera,1992-10-31 21:20:48,Male,2,Celtic sct - CornerKick Collections,Sales Associate,10:00 AM - 6:00 PM
Samuel,Álvaro,1997-10-02 23:21:34,Male,8,Celtic sct - CornerKick Collections,Cashier,11:00 AM - 7:00 PM
Alma,Padilla,1986-06-01 10:39:27,Female,9,Celtic sct - TurfTrends Emporium,Inventory Clerk,12:00 PM - 8:00 PM
Adán,Aguado,1980-02-27 19:15:44,Male,3,Celtic sct - TurfTrends Emporium,Customer Service Representative,11:00 AM - 7:00 PM
Otilia,Coca,1982-11-22 21:43:31,Female,2,Celtic sct - TurfTrends Emporium,Inventory Clerk,9:00 AM - 5:00 PM
Alexandra,Bravo,1986-02-21 00:13:24,Female,14,Celtic sct - TurfTrends Emporium,Customer Service Representative,12:00 PM - 8:00 PM
Gisela,Salas,1988-12-24 14:40:43,Female,10,Celtic sct - TurfTrends Emporium,Sales Associate,12:00 PM - 8:00 PM
Emelina,Baró,1994-04-08 06:10:23,Female,8,Celtic sct - TurfTrends Emporium,Cashier,9:00 AM - 5:00 PM
Dominga,Calatayud,1986-10-02 03:09:50,Female,2,Celtic sct - GoalLine Gear,Cashier,10:00 AM - 6:00 PM
Bernardino,Puga,1997-05-26 23:48:43,Male,4,Celtic sct - GoalLine Gear,Cashier,12:00 PM - 8:00 PM
Roxana,Bonet,1982-11-28 02:00:59,Female,15,Celtic sct - GoalLine Gear,Cashier,12:00 PM - 8:00 PM
Fortunata,Almagro,1974-07-08 19:21:50,Female,15,Celtic sct - GoalLine Gear,Cashier,9:00 AM - 5:00 PM
Débora,Real,2000-09-16 02:57:46,Female,3,Celtic sct - SoccerSphere,Store Manager,10:00 AM - 6:00 PM
Aarón,Font,1983-07-18 03:17:55,Male,15,Celtic sct - SoccerSphere,Customer Service Representative,11:00 AM - 7:00 PM
Clarisa,Verdú,1995-08-29 02:34:58,Female,13,Celtic sct - NetBound Sports,Inventory Clerk,11:00 AM - 7:00 PM
Ruben,Pinedo,1995-03-12 07:33:11,Male,2,Celtic sct - NetBound Sports,Inventory Clerk,12:00 PM - 8:00 PM
Pacífica,Atienza,1997-01-11 01:19:27,Female,10,Celtic sct - PitchSide Pro Shop,Sales Associate,10:00 AM - 6:00 PM
Kike,Zurita,1994-03-04 07:50:53,Male,3,Celtic sct - PitchSide Pro Shop,Store Manager,10:00 AM - 6:00 PM
Federico,Balaguer,1985-02-28 18:18:09,Male,11,Celtic sct - PitchSide Pro Shop,Cashier,12:00 PM - 8:00 PM
Itziar,Gimeno,1986-07-12 06:00:49,Female,10,Celtic sct - Striker's Style Outlet,Inventory Clerk,11:00 AM - 7:00 PM
Berta,Suarez,1985-03-22 21:19:59,Female,5,Celtic sct - Striker's Style Outlet,Customer Service Representative,9:00 AM - 5:00 PM
Amparo,Revilla,1993-06-19 03:59:08,Female,2,Celtic sct - Striker's Style Outlet,Store Manager,10:00 AM - 6:00 PM
Efraín,Antúnez,1977-12-26 09:51:33,Male,9,Celtic sct - Striker's Style Outlet,Store Manager,11:00 AM - 7:00 PM
Nieves,Aguilar,1975-07-29 23:58:33,Female,4,Celtic sct - Striker's Style Outlet,Customer Service Representative,12:00 PM - 8:00 PM
Cándida,Mendez,1975-07-03 21:45:18,Female,11,Celtic sct - Striker's Style Outlet,Store Manager,10:00 AM - 6:00 PM
Graciela,Cobos,2004-02-09 16:51:55,Female,14,Celtic sct - PitchPerfect Provisions,Inventory Clerk,9:00 AM - 5:00 PM
María,Sánchez,2000-08-12 15:53:57,Female,5,Celtic sct - PitchPerfect Provisions,Inventory Clerk,12:00 PM - 8:00 PM
Sergio,Ledesma,1994-12-09 00:06:58,Male,2,Celtic sct - PitchPerfect Provisions,Inventory Clerk,9:00 AM - 5:00 PM
Malena,Varela,1991-05-11 11:06:49,Female,14,Celtic sct - PitchPerfect Provisions,Cashier,10:00 AM - 6:00 PM
Raimundo,Navas,1994-12-02 16:22:05,Male,4,Celtic sct - Referee's Choice Sports,Customer Service Representative,9:00 AM - 5:00 PM
Juanita,Zurita,2003-03-28 03:45:17,Female,8,Celtic sct - Referee's Choice Sports,Cashier,9:00 AM - 5:00 PM
Rodrigo,Fuster,1997-02-09 10:17:41,Male,2,Celtic sct - Referee's Choice Sports,Store Manager,11:00 AM - 7:00 PM
Evita,Collado,1978-11-21 13:18:51,Female,10,Celtic sct - KickOff Kits,Store Manager,10:00 AM - 6:00 PM
Jose Angel,Álvaro,1994-04-01 21:45:58,Male,14,Celtic sct - KickOff Kits,Sales Associate,9:00 AM - 5:00 PM
Rodolfo,Marín,2003-05-31 23:29:39,Male,7,Celtic sct - KickOff Kits,Sales Associate,10:00 AM - 6:00 PM
Inés,Hierro,1987-03-04 21:05:03,Female,5,Celtic sct - KickOff Kits,Sales Associate,11:00 AM - 7:00 PM
Ariel,Quiroga,1981-03-08 18:09:23,Male,11,Celtic sct - KickOff Kits,Cashier,11:00 AM - 7:00 PM
Samuel,Jordá,2001-11-11 13:15:05,Male,15,Celtic sct - KickOff Kits,Customer Service Representative,11:00 AM - 7:00 PM
Sancho,Sanabria,1982-11-04 06:49:01,Male,6,Cádiz - PitchPerfect Provisions,Store Manager,10:00 AM - 6:00 PM
Delia,Mancebo,2004-05-10 00:38:47,Female,6,Cádiz - PitchPerfect Provisions,Sales Associate,10:00 AM - 6:00 PM
Amarilis,Capdevila,1981-01-21 04:19:15,Female,8,Cádiz - PitchPerfect Provisions,Store Manager,11:00 AM - 7:00 PM
